time,temperature,humidity
2024-01-09 02:27:35.566331,21.3,48.2
2024-01-09 02:28:35.586665,21.3,48.2
2024-01-09 02:29:35.598880,21.3,48.1
2024-01-09 02:30:35.626446,21.3,48.2
2024-01-09 02:31:35.641026,21.3,48.1
2024-01-09 02:32:35.655745,21.3,48.1
2024-01-09 02:33:35.668331,21.3,48.1
2024-01-09 02:34:35.689722,21.3,48.1
2024-01-09 02:35:35.715039,21.3,48.1
2024-01-09 02:36:35.734552,21.3,48.1
2024-01-09 02:37:35.748662,21.3,48.1
2024-01-09 02:38:35.766997,21.3,48.1
2024-01-09 02:39:35.785376,21.3,48.2
2024-01-09 02:40:35.799630,21.3,48.2
2024-01-09 02:41:35.815102,21.2,48.2
2024-01-09 02:42:35.832235,21.3,48.1
2024-01-09 02:43:35.847210,21.2,48.1
2024-01-09 02:44:35.860717,21.2,48.2
2024-01-09 02:45:35.874943,21.2,48.2
2024-01-09 02:46:35.889372,21.2,48.1
2024-01-09 02:47:35.906433,21.2,48.1
2024-01-09 02:48:35.917110,21.2,48.1
2024-01-09 02:49:35.935319,21.2,48.1
2024-01-09 02:50:35.946072,21.2,48.1
2024-01-09 02:51:35.962407,21.2,48.1
2024-01-09 02:52:35.977703,21.2,48.1
2024-01-09 02:53:35.991299,21.2,48.1
2024-01-09 02:54:36.007357,21.1,48.1
2024-01-09 02:55:36.025831,21.2,48.1
2024-01-09 02:56:36.047043,21.2,48.1
2024-01-09 02:57:36.061856,21.2,48.1
2024-01-09 02:58:36.080186,21.2,48.2
2024-01-09 02:59:36.095707,21.2,48.1
2024-01-09 03:00:36.109056,21.1,48.1
2024-01-09 03:01:36.128183,21.2,48.1
2024-01-09 03:02:36.146498,21.2,48.1
2024-01-09 03:03:36.165318,21.1,48.1
2024-01-09 03:04:36.182589,21.1,48.1
2024-01-09 03:05:36.198755,21.1,48.2
2024-01-09 03:06:36.214477,21.1,48.1
2024-01-09 03:07:36.229360,21.1,48.1
2024-01-09 03:08:36.245829,21.1,48.1
2024-01-09 03:09:36.268040,21.1,48.1
2024-01-09 03:10:36.287189,21.1,48.1
2024-01-09 03:11:36.303379,21.1,48.2
2024-01-09 03:12:36.317257,21.1,48.2
2024-01-09 03:13:36.326662,21.1,48.2
2024-01-09 03:14:36.344189,21.1,48.2
2024-01-09 03:15:36.358996,21.1,48.1
2024-01-09 03:16:36.373323,21.1,48.1
2024-01-09 03:17:36.388259,21.1,48.2
2024-01-09 03:18:36.406436,21.1,48.1
2024-01-09 03:19:36.420964,21.1,48.2
2024-01-09 03:20:36.438573,21.1,48.2
2024-01-09 03:21:36.458585,21.1,48.2
2024-01-09 03:22:36.483483,21.1,48.2
2024-01-09 03:23:36.503478,21.1,48.1
2024-01-09 03:24:36.520643,21.1,48.1
2024-01-09 03:25:36.541441,21.1,48.1
2024-01-09 03:26:36.557324,21.1,48.1
2024-01-09 03:27:36.573923,21.1,48.1
2024-01-09 03:28:36.589770,21.1,48.1
2024-01-09 03:29:36.607518,21.1,48.1
2024-01-09 03:30:36.625693,21.1,48.1
2024-01-09 03:31:36.640695,21.1,48.2
2024-01-09 03:32:36.656496,21.1,48.1
2024-01-09 03:33:36.675598,21.1,48.1
2024-01-09 03:34:36.688852,21.1,48.2
2024-01-09 03:35:36.706070,21.1,48.1
2024-01-09 03:36:36.719962,21.1,48.1
2024-01-09 03:37:36.737864,21.1,48.1
2024-01-09 03:38:36.754477,21.1,48.1
2024-01-09 03:39:36.768306,21.1,48.2
2024-01-09 03:40:36.786352,21.1,48.1
2024-01-09 03:41:36.800185,21.1,48
2024-01-09 03:42:36.816728,21.1,48.1
